lng,lat
86.129379,25.416676
87.744629,21.779188
81.775307,21.164993
88.546867,23.125587
88.250992,22.511976
78.621887,12.695032
81.356804,23.302189
78.100014,9.515625
86.119194,20.484348
84.011787,24.953514
71.770462,21.092159
84.869804,25.563322
74.255989,22.835602
78.342674,29.607981
84.072235,27.122196
86.490608,25.312717
80.809998,25.920074
77.970657,10.365581
85.625511,22.668312
69.605965,21.640575
87.746803,22.663696
88.318954,22.542061
76.894684,12.523731
72.743675,19.990751
74.518204,30.480042
79.703644,12.834174
74.095993,22.633492
77.594566,12.971599
77.696732,29.471397
79.581184,24.916355
90.535233,26.500999
76.919533,31.604889
76.750969,18.125875
71.222084,21.603176
77.848434,28.411331
87.231972,22.34601
84.660332,25.556044
74.961792,27.99502
79.543488,22.086868
88.410286,26.732311
74.855965,12.915605
88.049713,23.9468
80.151443,17.247253
78.013832,21.324196
75.023148,32.564522
83.034798,26.994154
74.996857,20.464079
79.004692,26.811712
87.070351,22.916706
80.782402,27.94908
85.031143,25.35128
72.553757,23.00795
82.072708,26.264776
87.593948,23.012794
75.680862,22.610683
81.991653,25.912968
83.577019,25.584042
83.977745,25.564711
76.513161,25.101145
73.743195,19.969227
85.36911,23.99662
79.399612,28.978298
79.118698,20.112093
80.18383,21.812876
76.713409,9.897157
80.619736,17.554356
87.55442,22.369043
72.618988,22.318083
76.839752,17.320486
76.536224,32.110542
83.624199,21.342585
82.698441,25.748695
81.598022,27.570839
76.694328,20.792713
76.92144,15.139393
77.775879,28.730579
78.96183,29.210421
79.629158,26.367811
76.653145,10.784703
79.653893,29.594189
75.302467,22.601292
78.448288,17.437462
75.752426,19.263334
79.967361,16.99708
91.975243,26.57448
74.928162,19.551146
75.563942,21.004194
82.0979,21.109133
86.302193,24.184713
87.482185,25.771103
76.201195,27.703669
76.16098,24.597349
79.700722,28.923548
81.718285,21.191774
78.08181,17.611629
83.185654,26.072067
73.899399,29.320511
79.416924,12.252576
85.781029,25.862968
84.148911,25.758503
84.989555,25.213928
75.151535,25.973787
77.893394,26.702518
77.829338,12.735126
79.804459,28.293783
78.567352,25.436298
82.73484,22.363848
81.526558,16.814524
81.033707,21.097855
84.540833,23.041924
74.859489,27.147869
77.873886,11.477696
87.265388,26.298552
80.117729,12.999464
78.662567,27.55875
88.365593,23.406979
73.87719,29.903839
79.558296,18.007202
79.480904,18.76182
83.558647,25.949638
76.748077,18.966354
76.1175,31.052128
72.657074,23.426788
76.119247,29.592957
78.226341,14.422232
84.79409,19.314962
77.345184,9.077854
74.945473,30.210995
71.668427,22.170424
88.262672,27.036007
73.517792,17.53231
79.512459,29.219677
79.768021,11.744699
72.998199,21.705723
82.568031,25.38727
74.728477,19.925682
75.591705,11.608495
85.501183,26.587299
85.416161,25.017258
75.5681,13.92993
80.48996,26.536938
91.62011,26.437252
79.30336,19.970324
92.778908,24.833271
92.564339,24.68469
92.717636,23.727106
88.394493,22.607672
74.865372,17.006298
75.921661,14.464103
75.756531,22.552437
75.171707,30.81646
88.404839,22.859726
75.205063,31.823462
79.588127,27.387049
74.771782,29.185776
86.41114,23.742628
75.913673,31.527355
88.783058,25.237284
86.071861,26.347883
78.330353,24.043468
70.28112,21.741323
77.549057,29.959694
77.449791,28.667856
83.975403,21.468185
86.600624,25.883495
93.60833,26.880077
87.992584,23.061089
81.696617,16.432983
76.074005,11.072035
77.51696,13.611159
77.731476,13.435455
94.911964,27.472834
88.606506,27.338936
72.24012,25.83087
79.894531,17.928122
75.780411,11.258753
77.033752,26.731142
79.380898,10.959815
80.832176,24.579716
78.938202,22.057163
80.049919,15.505723
83.979713,26.898392
77.00296,20.707228
74.026009,20.492281
78.802246,18.38662
76.606613,28.895515
86.1222,21.2155
80.224998,13.090994
76.144012,31.213682
78.912872,18.794905
76.334824,26.894478
77.507561,28.771646
77.634087,9.512137
78.591637,9.548395
81.188324,26.937834
78.498894,17.440325
82.56443,25.133699
79.325157,11.519588
75.399506,28.128876
78.133957,25.454794
76.522171,9.591441
77.65799,25.42412
75.063873,21.04241
87.32193,23.53344
80.466644,28.080379
75.010284,15.460252
72.911453,20.385181
78.39576,27.159101
73.84404,15.386033
86.952393,23.673944
77.312935,8.959021
83.896782,18.296974
76.102898,13.009711
74.966583,28.29229
77.849831,28.406963
78.841141,20.550573
86.092987,25.168901
79.872665,25.292509
75.025505,29.536535
88.563934,23.174049
77.113144,18.3934
75.037636,23.334169
74.68,24.620001
83.068352,24.685001
76.35257,21.825733
85.905533,20.450474
72.369949,23.586761
75.455215,29.511778
88.125587,25.61853
73.875801,19.206861
81.300003,25.9
86.920731,24.885483
75.778923,20.809378
76.566132,20.711622
76.574036,20.149822
81.29911,24.530727
76.990547,29.685629
74.456078,16.709002
85.517609,25.19935
89.451088,26.323921
93.950279,24.813967
72.057442,23.125837
75.14978,33.729729
73.827827,15.496777
72.948936,22.554029
74.438354,20.251549
77.326698,20.92207
79.140388,20.634085
77.523422,21.27306
73.11261,21.124857
84.986954,24.696135
95.18,27.48
75.290932,16.504227
87.863419,23.232513
77.10141,13.338263
85.105057,20.127028
94.629997,26.98
78.958054,20.067541
74.124069,14.801439
75.379997,31.379999
74.771942,34.216496
77.32,24.65
76.220222,30.702877
78.008125,16.737509
79.268333,17.05662
77.476814,10.010366
81.100388,16.703285
77.56691,19.912676
78.437737,17.25116
75.352478,19.901054
87.08725,23.233774
83.035957,24.220198
83.008781,17.686001
77.697205,28.452393
77.290169,28.526592
77.586014,13.094454
80.218185,29.582861
77.82,23.530001
79,20.23
73.151009,21.719477
70.823616,22.811989
77.412613,23.259933
91.277847,23.829321
79.650002,21.17
74.576782,18.150663
74.716324,27.029617
76.977081,29.398928
77.095184,23.198437
78.5,13.55
75.59729,32.365288
92.779282,24.833946
69.666931,23.242001
79.912247,27.883743
81.240891,26.230299
86.42704,23.795399
78.279999,28.719999
79.931847,23.16877
74.470009,21.546185
76.639381,12.29581
79.066544,12.228628
87.741882,22.395582
78.135849,29.372442
76.593948,30.483997
